title_de,title_ru
"Weihnachtliche Musik bei der Seehäusl Panorama Weihnacht","Рождественская музыка на рождественской панораме Seehäusl"
Chiemsee-Kasperltheater,"Театр пунша и джуди на Хиемзее"
"""Zeit zum Atmen"" - Multivisionsvortrag von Extremkletterer Alexander Huber","""Время дышать"" - мультивизуальная лекция альпиниста-экстремала Александра Хубера"
"Morgen Findus wirds was geben - Puppentheater","Завтра у Финдуса будет кое-что - кукольный театр"
"Seehäusl Panorama Weihnacht - Nikolaus-Special mit DJ Volker","Seehäusl Panorama Christmas - специальный выпуск Деда Мороза с DJ Volker"
"Charity-Konzert Gospels at Heaven","Благотворительный концерт ""Евангелие в раю"
"VdK Traunstein Weihnachtsfeier","Рождественская вечеринка VdK Traunstein"
"Adventssingen in Maria Eck","Адвентское пение в Марии Экк"
"Adventfeier der Vereinsfrauen","Празднование Адвента женщинами клуба"
"Konzert zur Weihnachtszeit in Seebruck","Рождественский концерт в Зеебруке"
"Einweihung Pumptrack Rottau","Торжественное открытие насосной трассы Роттау"
"Seehäusl Panorama Weihnacht - Weihnachts-After-Work Special mit DJ Volker","Seehäusl Panorama Christmas - рождественское специальное предложение после работы с DJ Volker"
"Bergen. Musik und Segen","Музыка и благословение"
"Käse-Fondue auf der Bründling Alm mit Fackelwanderung","Сырное фондю на Брундлингском Альме с прогулкой при свете факелов"
"Engelamt des Frauenbundes","Ангельское служение женской ассоциации"
"Schneeschuh-Tagestour ""Gipfelglück"" oder ""Winterüberraschung"" mit Einkehr","Дневной тур на снегоступах ""Gipfelglück"" или ""Зимний сюрприз"" с остановкой для перекуса"
"Bergen: Ausflug Club der Alten","Берген: Экскурсионный клуб пожилых людей"
"Sternsinger-Probe Otting","Репетиция Штернзингера Оттинг"
"Musikkabarett mit Sara Brandhuber - ""A scheena Schmarrn""","Музыкальное кабаре с Сарой Брандхубер - ""A scheena Schmarrn"""
"Schneeschuh-Tagestour ""Winterüberraschung"" oder ""Gipfelglück"" mit Einkehr","Дневной тур на снегоступах ""Зимний сюрприз"" или ""Блаженство на вершине"" с остановкой для перекуса"
"Holzschnitzer Christian Staber auf dem Traunsteiner Christkindlmarkt","Резчик по дереву Кристиан Штабер на рождественском рынке в Траунштайне"
"Adventsfeier des Senioren Kaffee-Kränzchen","Праздник Адвента для старших"
"Seiwald & Topf | Programm Christkindlmarkt","Программа рождественского базара Seiwald & Topf | Рождественский базар"
"Hl. Nacht von Ludwig Thoma","Святая ночь"" Людвиг Тома"
"Heilige Nacht von Ludwig Thoma","Святая ночь"" Людвиг Тома"
"Aus der neuen Welt","Из нового мира"
"Schneeschuh-Tageswanderung ""In der Stille des Winters"" oder ""Gipfelglück"" mit Einkehr","Дневной поход на снегоступах ""В тишине зимы"" или ""Блаженство на вершине"" с остановкой для перекуса"
"Woody Brass Connection | Programm Christkindlmarkt","Woody Brass Connection | Программа рождественского рынка"
"Gut Sossau: Weihnachten auf Gut Sossau","Гут Соссау: Рождество в Гут Соссау"
"Chieminger Christkindlmarkt","Рождественский рынок в Чимингере"
"Sternsinger-Probe Wonneberg","Штернзингерская репетиция Воннеберг"
"Internationale National Championships","Международные национальные чемпионаты"
"A bsonderer Weg - Die vier Kerzen","Особый путь - Четыре свечи"
"REISEGRUPPE ROMANTIK | Programm Christkindlmarkt","REISEGRUPPE ROMANTIK | Программа рождественского базара"
"15. Rauhnachtwanderung zur Wintersonnenwende mit der Maserer Pass","15-й поход Раунаха к зимнему солнцестоянию с перевалом Мазерер"
"Dinner mit Killer: ""Das Geheimnis der Blutgräfin""","Ужин с убийцей: ""Тайна кровавой графини"""
"SG Erlstätt: Weihnachtsfeier","SG Erlstätt: Рождественская вечеринка"
"Weihnachtsfeier DJK Otting","Рождественская вечеринка DJK Otting"
"ZSG Bogen Grabenstätt: Liga Wettkampf","ZSG Bogen Grabenstätt: соревнования в лиге"
"Heitauer Tagesfahrt: Landshuter Christkindlmarkt","Однодневная экскурсия по Хайтау: рождественский рынок в Ландсхуте"
"Adventsbrunch im PAPILLON","Адвентский бранч в ресторане PAPILLON"
"Andi Wallner & Sigi Reiter Gedächtnislanglauf","Мемориальные лыжные гонки Энди Валлнер и Сиги Райтер"
"Weihnachtsandacht der Maria-Tann-Wanderer","Рождественское посвящение участников похода Марии Танн"
"Wintermarkt im Herzen von Reit im Winkl","Зимний рынок в самом сердце Райт-им-Винкля"
"Adventsfeier - Simeonkirche","Празднование Адвента - Симеонкирхе"
"Wintermarkt - Winterzauber für Kinder auf der Freilichtbühne","Зимний рынок - зимнее волшебство для детей на открытой сцене"
"15. Waldweihnacht der Hochfellner Bergdeifen","15-е Лесное Рождество Хохфелльнер Бергдейфен"
"Wintersonnwendfeier Nirnharting","Празднование зимнего солнцестояния Нирнхартинг"
"Perchtenlauf | Programm Christkindlmarkt","Программа рождественского базара ""Перхтенлауф""|"
"Wintermarkt-OPENING mit ""dem Bergfexn-Trio""","ОТКРЫТИЕ ЗИМНЕГО РЫНКА с ""трио Bergfexn"""
"A bsonderer Weg - Die heilige Nacht","Особый путь - Святая ночь"
"""Cafe am Platzl"": AUSTRIX - Live Musik","""Кафе ам Платцль"": AUSTRIX - Живая музыка"
BlankWeinek,BlankWine
"Weihnachts A-Band mit Support","Рождественская группа A-Band с поддержкой"
"Pilsei Revival - 2. X-Mas Party im Pubbine's","Pilsei Revival - 2-я X-Mas Party в Pubbine's"
"In Dulci Jubilo - Manifest der Lebensfreude | Grassauer Blechbläser","In Dulci Jubilo - Манифест радости жизни | Grassauer Blechbläser"
"Weihnachts-Wochenende in Gittis Schatzkistal","Рождественские выходные в сокровищнице Гитти"
"Adventskranzverkauf Oberwössen","Продажа Адвентский венок Обервёссен"
"Große Siegerehrung vom Ruhpoldinger Dorfschießen","Торжественная церемония награждения победителей соревнований по стрельбе в деревне Рупольдинг"
"Rorate mit Adventskranzsegnung Oberwössen","Рорат с благословением адвентского венка Обервёссен"
"Pfarrgottesdienst Unterwössen","Приходская служба Унтервёссен"
"AUSVERKAUFT / Ricardo Volkert & Ensemble: Feliz Navidad! Andalusische Weihnacht und Flamenco","SOLD OUT / Ricardo Volkert & Ensemble: Feliz Navidad! Андалузское Рождество и фламенко"
"Martini-Adventfeier im Pfarrheim","Празднование адвента в День святого Мартина в приходском зале"
Advents-Lichterweg,"Тропа огней Адвента"
"Herbert Pawlitschek: Buchvorstellung ""de schenste Zeit im Johr""","Герберт Паулитшек: презентация книги ""de schenste Zeit im Johr"""
"""Bosnaglühen"" in Oberwössen","""Боснаглюхен"" в Обервёссене"
"Rorate-Gottesdienst Oberwössen","Рорат-сервис Обервёссен"
"Musikalische Adventszeit","Музыкальный сезон Адвента"
"Evang. Kirchengemeinde Übersee-Bergen-Grabenstätt: Musik & Segen","Протестантский приход Уберзее-Берген-Грабенштетт: музыка и благословение"
Rorate,Rorate
"Ausstellung Oilpanting - Realism","Выставка ""Нефтяное дыхание - реализм"
"Lesung mit Musik im Patch.Work in Seeon","Чтение под музыку в Patch.Work в Сионе"
"Schneeschuh-Tagesunternehmung ""Zauberhafte Winterlandschaft"" oder ""Gipfelglück"" - mit Einkehr","Однодневный поход на снегоступах ""Чарующий зимний пейзаж"" или ""Блаженство на вершине"" - с остановкой для перекуса"
"Kripperl schauen im Laufener Tor","Рождественская сцена в Лауфенер-Тор"
"Friedenslicht-Übergabe in Truchtlaching","Передача света в Трухтлахинге"
"Festliches Weihnachtskonzert in St. Nikolaus ""in dulci jubilo""","Праздничный рождественский концерт в St Nicholas ""in dulci jubilo"""
"Abschlussrundgang ""ENTDECKUNGEN IN RÄUMEN DER KUNST""","Заключительный тур ""ДИСКАВЕРИ В ПРОСТРАНСТВАХ ИСКУССТВА"""
"Besinnliche Stunde zum 4. Advent","Созерцательный час для 4-го Адвента"
"Großes Winter-Sonnwendritual im Ruhpoldinger Tal","Великий ритуал зимнего солнцестояния в долине Рупольдинг"
"Böllerschießen am Hägfeld","Стрельба петардами в Хегфельде"
Christkindlsuchen,Christkindlsuchen
"Winklmooser Bergadvent","Винклмоос Горный адвент"
"Friedenslicht-Übergabe in Seebruck","Передача света мира в Зеебруке"
"Singen unterm Christbaum","Пение под рождественской елкой"
"Adventstation des Chiemgau Chors","Адвентная станция хора из Чимгау"
"Bergen: Friedenslicht","Берген: Свет мира"
"Adventliches Singen und Musizieren in Siegsdorf","Адвентное пение и музицирование в Зигсдорфе"
"Chor Glüxfoi | Programm Christkindlmarkt","Хор Glüxfoi | Программа рождественского базара"
"Werkstatt der Phantasien – Kunst für Kinder mit Moni Stein","Мастерская фантазий - искусство для детей с Мони Штейн"
"D'Moosmusi | Programm Christkindlmarkt","Программа рождественского рынка D'Moosmusi | Christmas market"
"Schneeschuhwanderung ""Zauberhafte Wintertour""","Поход на снегоступах ""Волшебный зимний тур"""
"""A bissal staade Zeit"" Adventskonzert Seebruck mit dem Duo HARFE.HORN","Адвент-концерт ""A bissal staade Zeit"" Зеебрук с дуэтом HARFE.HORN"
"Trinken für einen guten Zweck – mit Musik & Herz","Выпивка за доброе дело - с музыкой и сердцем"
"Michael Alf Trio - Swinging Christmas | Programm Christkindlmarkt","Michael Alf Trio - Swinging Christmas | Программа ""Рождественский рынок"
"Live Musik am Wintermarkt mit den Kraxnbach-Lodan","Живая музыка на зимнем рынке с группой Kraxnbach-Lodan"
"Winterzauber und Live-Musik mit ""OFLO"" am Schneefest","Зимнее волшебство и живая музыка с ""OFLO"" на фестивале снега"
"Seehäusl Panorama Weihnacht - Christmas-Rock-Special mit DJ Ali","Seehäusl Panorama Christmas - Рождественский рок-спектакль с DJ Ali"
"Glühkindl Party","Вечеринка ""Глюкиндль"
"Sauerkirsch Weihnachtskonzert","Рождественский концерт в Зауэркирше"
"Punsch & Waffeln","Пунш и вафли"
"Bürgerspaziergang - Bauhof und Feuerwehr","Прогулка граждан - строительный двор и пожарная команда"
"Soldaten- und Kriegerkameradschaft Grabenstätt: Einladung zum 3. adventlichen Vorglühen","Солдатское и воинское товарищество Грабенштетта: приглашение на 3-й адвентский предвечерник"
"VdK Grabenstätt: Adventsfeier","VdK Grabenstätt: Адвент-вечеринка"
"Musikalischer 1. Advent","Музыкальный 1-й Адвент"
"Schafkopfkurs- und Übungsabend in Seeon","Курс ""Шафкопф"" и вечер практики в Сионе"
"Zu Tisch - gemeinsam kochen und essen im Treffpunkt","За столом - совместное приготовление и прием пищи в месте встречи"
"Es tönen die Lieder - Einladung zum Singen für Senioren","Звонкие песни - приглашение спеть для пожилых людей"
"Engelamt (Rorate) in der Schlosskapelle","Кабинет ангелов (Рорате) в замковой часовне"
"Auf Grün schauen","Ищите зеленый цвет"
"Kramperlauslauf ""Leiddei Bass""","Kramperlauslauf ""Leiddei Bass"""
"Der Nikolaus kommt 2025 wieder mit der Chiemgauer Lokalbahn","В 2025 году Святой Николай вернется на местную железную дорогу Чиемгау"
Barbaramarkt,"Рынок Барбары"
"Aufstellungs-Sonntag im Patch.Work Seeon","Созвездие Воскресенье в Patch.Work Seeon"
"Vernissage - Auf Grün schauen","Вернисаж - взгляд на зелень"
"IT-Sicherheit für alle - Schutz im digitalen Alltag","ИТ-безопасность для всех - защита в повседневной цифровой жизни"
"Ernährung und Wohlfühlen in den Wechseljahren","Питание и хорошее самочувствие во время менопаузы"
"Engelamt (Rorate) in der Urschlau","Кабинет ангела (Рорат) в Уршлау"
"Filmnachmittag im Seniorencafé - Komödie","Кинодень в кафе для пожилых людей - комедия"
"Entfalte deine Stimme - Gesangscoaching für Einsteiger/innen","Развивайте свой голос - вокальный коучинг для начинающих"
"Präsenzinfoabend in Traunstein","Информационный вечер присутствия в Траунштайне"
"Engelamt (Rorate) in St. Valentin","Офис Ангелов (Рорате) в Сен-Валентине"
"Weihnachtsmatinée mit German Brass","Рождественский утренник с немецким духовым оркестром"
"Skibus Inzell - Winklmoosalm/Steinplatte","Лыжный автобус Инцелль - Винкльмоосальм/Штейнплатте"
"2-Tages-Langlaufkurs ""Classic""","2-дневный курс беговых лыж ""Классика"""
Christkindl-Sonderzug,"Специальный поезд Christkindl"
"Besonderer musikalischer Moment mit den Reit im Winkler Alphornbläsern","Особый музыкальный момент с альфонсами из Райт-им-Винклера"
"Wir warten aufs Christkind","Мы ждем Младенца Христа"
"Biathlon für Jedermann","Биатлон для всех"
"Kleinkindermette in Siegsdorf","Младенческая месса в Зигсдорфе"
"Bergen: Weihnachtssalutschießen","Берген: стрельба из рождественского салюта"
"Krippenspiel - ""Da richtige Weg""","Рождественский спектакль - ""Правильный путь"""
"An Heilig Abend - Bläserkonzert mit gemeinsamen Weihnachtliedersingen","В канун Рождества - духовой концерт с совместным пением рождественских песен"
"Turmbläser und Glühweinstand","Башенный духовой оркестр и подставка для глинтвейна"
Kinderkrippenfeier,"Детский праздник Рождества"
"Familiengottesdienst mit Krippenspiel","Семейная служба с рождественским спектаклем"
"Christvesper am Heiligabend","Рождественская вечерня в канун Рождества"
"Christkindlanschießen (Musikkapelle Inzing-Törring, Feuerschützen und FFW Törring)","Рождественская стрельба (группа Инцинг-Тёрринг, стрелки и FFW Тёрринг)"
Christkindlanschießen,"Рождественская стрельба"
"Krippenfeier in Otting","Празднование в кроватке в Оттинге"
"Kindermette in Eisenärzt","Детская месса в Айзенярцте"
"Kindermette in Siegsdorf","Детская месса в Зигсдорфе"
"Bergen. Kindergrippenfeier","Берген. детский сад"
"Heilig Abend Familiengottesdienst","Семейная служба в канун Рождества"
"evangelischer Familiengottesdienst zum Mitmachen","Протестантская семейная служба для участия в"
"CHRISTMETTE zum Heiligen Abend","CHRISTMETTE для кануна Рождества"
"Glühweinverkauf & Standkonzert","Продажа глинтвейна и стендовый концерт"
Christvesper,"Рождественская вечерня"
Christmette,"Рождественская месса"
"Christvesper in Übersee","Рождественская вечерня за границей"
"Weihnachten gemeinsam feiern","Отпразднуйте Рождество вместе"
"Pfarrei Grabenstätt: Christmette","Приход Грабенштетта: рождественская месса"
"Meditativer Ausklang am Heiligen Abend","Медитативный финал в канун Рождества"
"Bergen. Christmette","Рождественская месса в Бергене"
Christkindlanblasen,"Рождественский дует"
"Hl. Abend Christmette","Месса накануне Рождества"
"Christmette in Maria Eck","Рождественская месса в Марии Экк"
"Christmette in Hammer","Рождественская месса в Хаммере"
"Christmette in Eisenärzt","Рождественская месса в Айзенярцте"
"Christmette Otting","Рождественская месса Оттинг"
"Traditionelles Turmblasen","Традиционная продувка башен"
"Pfarrei Erlstätt: Christmette","Приход Эрльштетта: рождественская месса"
"Christmette in Siegsdorf","Рождественская месса в Зигсдорфе"
"Glühweinverkauf der Kolpingjugend","Продажа глинтвейна от Kolping Youth"
Festgottesdienst,"Праздничная служба"
"Schneeschuhwanderung ""Winterabenteuer pur""","Поход на снегоступах ""Чисто зимнее приключение"""
"Festgottesdienst zu Weihnachten","Рождественская служба"
Biathlon-Crashkurs,"Краткий курс по биатлону"
"Bergen. Festgottesdienst","Берген. праздничное обслуживание"
"Weihnachtslieder-Wunschkonzert im Bergkirchlein","Концерт рождественских песен в Бергкирхляйне"
"Bergen. Feierliche Weihnachtsvesper","Торжественная рождественская вечерня"
"Der echte „HindenBURG-Hüttenabend“ mitn Wirt & seinem Bergfexn-Trio","Настоящий ""вечер в хижине Хинденбурга"" с хозяином и его трио Bergfexn"
Kirchenpatrozinium,"Церковное покровительство"
Zwergerl-Skikurse,"Лыжные трассы для гномов"
"Weihnachtlicher Festgottesdienst - Stefanitag","Рождественская служба - День святого Стефана"
Achental-Sternritt,"Звездный аттракцион Achental"
"Schneeschuhwanderung durch Ruhpoldings Winterwelt","Поход на снегоступах по зимней стране чудес в Рупольдинге"
"Schneeschuhwanderung ""Besonderes Erlebnis bei Nacht""","Поход на снегоступах ""Особые впечатления ночью"""
"Harfenkonzert mit Silke Aichhorn","Концерт для арфы с Силке Айххорн"
Christbaumversteigerung,"Аукцион рождественских елок"
"1. Stefani Konzert","Первый концерт Стефани"
"Weihnachtsparty in Hart 2025","Рождественская вечеринка в Харт 2025"
Stefaniekonzert,"Концерт Стефани"
"Schneeschuhwanderung ""Erlebnis in herrlicher Winterlandschaft""","Поход на снегоступах ""Насладитесь чудесным зимним пейзажем""."
"Sonderausstellung - „Alle Zeit der Welt“","Специальная выставка - ""Все время в мире"""
"Ruhpoldinger Rauhnachtsmarkt 2025","Рупольдинг Раунахтсмаркт 2025"
"Spirituelle Winterwege","Духовные зимние тропы"
"MASCHTEI Live - am Wintermarkt","MASCHTEI Live - на зимнем рынке"
"Christbaumversteigerung des KSK","Елочный аукцион KSK"
"Alpenländisches Weihnachtssingen","Горное рождественское пение"
"Johannimesse im Kirchlein St. Johann in Stöttham","Месса Святого Иоанна в маленькой церкви Святого Иоанна в Штотхаме"
"Jahreshauptversammlung Leonhardiverein","Ежегодное общее собрание Leonhardiverein"
"Christa & Franz-Josef Fuchs - Der 100. Geburtstag - oder Omdessen für oane!","Криста и Франц-Йозеф Фукс - 100-летие - или Омдессен для оана!"
"Skikurs für Fortgeschrittene","Лыжный курс для опытных лыжников"
Neujahrsblasen,"Новогодние пузырьки"
"Waginger Glühweinstand","Подставка для глинтвейна Waginger"
"Pfarrverband Hl. Franz von Assisi: Rorate Gottesdienst","Приход Святого Франциска Ассизского: служба рората"
"Auslaufen & Nikolaustag der Rauschberg Pass Ruhpolding","Отъезд и День Святого Николая на перевале Раушберг в Рупольдинге"
Fackelwanderung,"Поход с факелами"
"Die ""Besondere Kirchenmusik"" - Vorabendgottesdienst - Hl. Nikolaus","""Особая церковная музыка"" - Канун службы - Святой Николай"
"2. Advent - Die ""Besondere Kirchenmusik""","2-й Адвент - ""Особая церковная музыка"""
"Kirchenkonzert in der St. Remigius Kirche","Церковный концерт в церкви Святого Ремигия"
"Kneippverein Wandergruppe - Wanderung um den Frillensee","Походная группа ассоциации Кнайппа - Поход вокруг озера Фрилензее"
Seniorentreff,"Встреча пожилых людей"
Lichtermeer,"Море огней"
"Gemeindebücherei: Vorlese Nachmittag im Advent","Общественная библиотека: День чтения в адвент"
"Weihnachtsmarkt der Country Freunde Schönram","Рождественский базар друзей Шёнрама"
"Bundesliga Süd Eisstockschießen","Бундеслига Юг Керлинг"
"Adventsmarkt - das Internat öffnet seine Türen","Адвент-маркет - школа-пансион открывает свои двери"
"Aktion im Klosterladen: rebeutel – nachhaltige Taschen aus Recyclingmaterial","Акция в монастырской лавке: rebeutel - экологичные сумки из переработанного материала"
Lichtregen,"Световой дождь"
"Bad Reichenhall und Traunstein","Бад-Райхенхалль и Траунштайн"
"Weihnachtliches Erzählen für Kindergartenkinder","Рождественские истории для детей в детском саду"
"""A Stern leuchte' uns den Weg ""","""Звезда освещает нам путь""."
"Open Stage","Открытая сцена"
"Winter Sonnwendfeier","Празднование зимнего солнцестояния"
"Heilige Nacht - Weihnachtslegende","Святая ночь - рождественская легенда"
"Bürgergruppe und Dirndlschaft Erlstätt: Advents-Glühweinfest","Группа граждан и Dirndlschaft Erlstätt: фестиваль адвентного глинтвейна"
Abendlob,"Вечерняя хвала"
"2-Tages-Langlaufkurs ""Skating""","2-дневный курс катания на беговых лыжах ""Катание"""
"Funkenzauber im Schnee - Familienwanderung zur Einstimmung auf Weihnachten","Искрящееся волшебство в снегу - семейный поход за рождественским настроением"
"Krippenfeier für kleine Kinder","Праздник Рождества Христова для маленьких детей"
"Familiengottesdienst zum Heiligen Abend mit Krippenspiel","Семейная служба в канун Рождества с рождественским спектаклем"
"Seniorenmette am Heiligen Abend","Месса для пожилых людей в канун Рождества"
"Feier der Christmette","Празднование Рождественской мессы"
"Bergen: Weihnachtsbrunch","Берген: рождественский бранч"
"Festgottesdienst am Weihnachtstag","Праздничная служба в день Рождества"
"Weihnachtlicher Festgottesdienst - 1. Weihnachtstag","Рождественская служба - 1-е Рождество"
"Die ""Besondere Kirchenmusik"" - Vorabendgottesdienst - Fest Johanni","""Особая церковная музыка"" - Канун службы - Праздник святого Иоанна"
"ROOTS CLUB","КЛУБ ""КОРНИ"
"Die ""Besondere Kirchenmusik"" Pfarrgottesdienst","Приходская служба ""Особая церковная музыка"""
"Christkindlsuacha im Diesselbachtal mit Fackelwanderung","Христкиндльзуаха в долине Дизельбах с факельным походом"
"„Jauchzet, frohlocket!“ – Festliches Weihnachtskonzert","""Радуйтесь, радуйтесь!"" - праздничный рождественский концерт"
"DEC Frillensee Inzell - TSV Schliersee","DEC Frillensee Inzell - TSV Schliersee"
"51. Rauhnacht Hoagascht","51-й раунахт Хоагашта"
"Monobo Son","Сын Монобо"
Maibam-Umdoa,Майбам-Умдоа
"Rauhnachtswanderung im Achental","Rauhnachtswanderung в Ахентале"
"Schneefest Oberwössen","Снежный фестиваль в Обервёссене"
"Winterliche Abendrunde zur Blauen Stunde - Ein Erlebnis mit unserem OUTDOOR-Team","Зимний вечерний тур в голубой час - опыт с нашей командой OUTDOOR"
"Live Musik am Wintermarkt mit der ""GUTEN A BAND""","Живая музыка на зимнем рынке с ""GUTEN A BAND"""
"Alpenhypno - Magie der Rauhnächte - Rauhnachtsmeditation","Alpenhypno - Магия Раухнахта - Раунахтмедитация"
"Winter-Wunder-Varieté | Wundercircus","Зима-Вундер-Вариете | Вундерцирк"
"Geführte Winterwanderung ""Birnbach"" - Ein Erlebnis mit unserem OUTDOOR-Team","Зимний поход с гидом ""Бирнбах"" - опыт с нашей командой OUTDOOR"
"Kultwinter im Park","Культовая зима в парке"
"Orgelkonzert ""Internationale Weihnachtslieder""","Органный концерт ""Международные рождественские песни"""
"Live Musik am Wintermarkt mit der Hi & Do-Musi","Живая музыка на зимнем рынке с группой Hi & Do-Musi"
"Gaudi auf dem Eis – Eisstockschießen & Schlittschuhlaufen in Oberwössen","Веселье на льду - керлинг и катание на коньках в Обервёссене"
"Pfarrei Grabenstätt: Jahresschlussandacht","Приход Грабенштетта: молитва в конце года"
"Jahresschlussandacht in St. Leonhard","Служба в конце года в церкви Святого Леонгарда"
"Silvesteranschießen der Wolfsberger Böllerschützen","Новогодняя стрельба из петард в Вольфсберге"
Jahresabschlußandacht,"Посвящение в конце года"
"Neujahrsanschießen der Eisenärzter Böllerschützen","Новогодний расстрел артиллеристов Айзенярцта"
"Gottesdienst zum Altjahresabend","Новогодняя служба"
Silvesterschießen,"Новогодняя стрельба"
"Die ""Besondere Kirchenmusik"" - Sylvester","""Особая церковная музыка"" - Новогодняя ночь"
Jahresschlussgottesdienst,"Обслуживание в конце года"
"Bergen. Eucharistiefeier zum Jahresabschluß","Евхаристический праздник в конце года"
"Silvestermenü im Landhaus Tanner","Новогоднее меню в ресторане Landhaus Tanner"
"Silvesterkonzert mit den Grassauer Blechbläsern","Новогодний концерт с духовыми оркестрами Grassau"
"Silvestergala 2025 Fête Blanche – auf Gut Ising","Новогоднее торжество 2025 Fête Blanche в ресторане Gut Ising"
"Abendessen mit Livemusik im Glusthaferl","Ужин с живой музыкой в ресторане Glusthaferl"
"Silvesterfeier mit Live-Musik im Festsaal","Новогодняя вечеринка с живой музыкой в бальном зале"
"Silvester im Porto Bello","Новогодняя ночь в Porto Bello"
"Silvesterfeier in Grassau - Gemeinsam ins neue Jahr!","Новогодняя вечеринка в Грассау - вместе в Новый год!"
"Silvesterabend am Reit im Winkler Glühweinstand`l","Новогодняя ночь в киоске глинтвейна Reit im Winkler"
"Seehäusl Panorama Weihnacht - Silvester-Special","Seehäusl Panorama Christmas - New Year Eve Special"
"Silvesterparty - Ruhpolding on fire","Новогодняя вечеринка - Рупольдинг в огне"
"Musik & Text ""von Glück und Segen""","Музыка и текст ""Счастье и благословение"""
Neujahrsgottesdienst,"Новогодний сервис"
"Pfarrei Grabenstätt: Neujahrsgottesdienst","Приход Грабенштетта: новогоднее богослужение"
"Pfarrei Erlstätt: Neujahrsgottesdienst mit Aussendung der Sternsinger","Приход Эрльштетта: новогоднее богослужение с отправлением колядок"
Neujahr,"Новый год"
"Festgottesdienst zum neuen Jahr","Праздничная служба в честь Нового года"
"Bergen. Neujahrsgottesdienst","Новогодний сервис в Бергене"
"Gottesdienst zum Jahresbeginn","Церковная служба в начале года"
"Gottesdienst zum Neujahr","Новогодний сервис"
"Neujahrsmesse Otting","Новогодний массовый оттинг"
"Eisdisco für Familien und Jugendliche","Ледовая дискотека для семей и молодежи"
"Glücksbringer & Neujahrsdeko - frisch gebastelt ins neue Jahr","Талисманы на счастье и новогодние украшения - свежее изготовление к Новому году"
"Der große Winter-Zauber-Nachmittag","Великий зимний волшебный день"
"Live Musik am Wintermarkt mit ""dem Bergfexn-Trio""","Живая музыка на зимнем рынке с ""Трио Bergfexn"""
"Messfeier mit Aussendung der Sternsinger","Месса с пением колядок"
"Stubenabend mit Ziehharmonika","Вечер в гостиной с аккордеоном"
"Weihnachtsmusik mit Kammerchor Trostberg in der Burgkirche","Рождественская музыка в сопровождении камерного хора Тростберга в замковой церкви"
"Luftgewehrschießen in Unterwössen für Gäste","Стрельба из пневматической винтовки в Унтервёссене для гостей"
"Bayerische Rauhnacht | Schariwari","Баварский раухнахт | Шаривари"
"DEC Frillensee Inzell - TEV Miesbach 1 b","DEC Frillensee Inzell - TEV Miesbach 1 b"
"Pfarrei Grabenstätt: Aussendung der Sternsinger","Приход Грабенштетта: отправка исполнителей колядок"
"Gaudi auf dem Eis – 1. Gäste- und Familienturnier Eisstockschiessen","Веселье на льду - 1-й гостевой и семейный турнир по керлингу"
"Camba Backkurs","Курс по выпечке камбы"
"Beswingt ins neue Jahr","Энергично вступайте в новый год"
"Nicki - ""I sing für mei Leben gern""","Ники - ""Я люблю петь ради своей жизни""."
"Gemeinsame Fahrt nach München ins Bayerische Nationalmuseum","Совместная поездка в Баварский национальный музей в Мюнхене"
Winter-Hallen-Flohmarkt,"Зимний крытый блошиный рынок"
"Jahreshauptversammlung 2026 des Burschenverein Edelweiß Hart","Годовое общее собрание 2026 года Буршенферайн Эдельвайс Харт"
"Messe und Aussendung der Sternsinger","Месса и проводы певцов колядок"
"Die ""Besondere Kirchenmusik""","""Особая церковная музыка"""
Benefizkonzert,"Благотворительный концерт"
"Winterwanderung im Wössner Talkessel - Sicher unterwegs im Winter – Risiken in der kalten Jahreszeit","Зимний поход в бассейн долины Вёсснер - безопасное путешествие зимой - риски в холодное время года"
"Doctor Döblingers geschmackvolles Kasperltheater „Kasperl und das Gschpenscht“","Театр доктора Дёблера ""Касперль и Гшпеншпиль"" со вкусом."
"Live Musik am Wintermarkt mit den LAMAS","Живая музыка на зимнем рынке с группой LAMAS"
"Johann Sebastian goes Jazz","Иоганн Себастьян в джазе"
Pampelmusen,Грейпфрут
"Neujahrskonzert | Bad Reichenhaller Philharmoniker","Новогодний концерт | Филармонический оркестр Бад-Райхенхалла"
"Concerto di Capodanno","Концерт ди Каподанно"
"Klöpfeln der Trachtenkinder","Вышивка традиционного костюма детей"
"Flutlicht Skifahren am Unternberg","Катание на лыжах при свете прожекторов на Унтернберге"
"HELDs Open House - Hotelflohmarkt","День открытых дверей - блошиный рынок в отеле"
"Flutlichtskifahren am Westernberg","Катание на лыжах с освещением на Вестернберге"
"Weihnachtsworkshop „Der phantastische Baum“","Рождественская мастерская ""Сказочная елка"""
"Glüh-Birn Pub am Advent beim Hefter","Паб Glüh-Birn в ресторане Advent at the Hefter"
"Seeberger Weihnachtszauber","Рождественское волшебство Seeberger"
"Klassik Benefizkonzert Lei Meng, Klavier","Благотворительный концерт классической музыки Лей Мэн, фортепиано"
"Seeoner Adventsingen","Песнопения Сиона Адвента"
"Winterliches Bilderbuchkino","Зимний книжный кинотеатр"
"Offenes Adventsliedersingen","Открытое пение адвентских песен"
"Zum 20. Mal im Kulturforum Klosterkirche „Jazzy Monday“ feiert Jubiläum","""Джазовый понедельник"" празднует 20-летие в Культурфоруме Клостеркирхе"
